96,dartmouth_green,Dartmouth Green,#00703c,0,112,60
97,debian_red,Debian Red,#d70a53,215,10,83
98,deep_carmine_pink,Deep Carmine Pink,#ef3038,239,48,56
99,deep_carrot_orange,Deep Carrot Orange,#e9692c,233,105,44
100,deep_jungle_green,Deep Jungle Green,#004b49,0,75,73
101,deep_pink,Deep Pink,#ff1493,255,20,147
102,deep_sky_blue,Deep Sky Blue,#00bfff,0,191,255
103,deep_tuscan_red,Deep Tuscan Red,#66424d,102,66,77
104,dodger_blue,Dodger Blue,#1e90ff,30,144,255
105,duke_blue,Duke Blue,#00009c,0,0,156
106,earth_yellow,Earth Yellow,#e1a95f,225,169,95
107,egyptian_blue,Egyptian Blue,#1034a6,16,52,166
108,electric_blue,Electric Blue,#7df9ff,125,249,255
109,electric_green,Electric Green,#0f0,0,255,0
110,electric_purple,Electric Purple,#bf00ff,191,0,255
111,electric_yellow,Electric Yellow,#ff0,255,255,0
112,eton_blue,Eton Blue,#96c8a2,150,200,162
113,falu_red,Falu Red,#801818,128,24,24
114,fern_green,Fern Green,#4f7942,79,121,66
115,ferrari_red,Ferrari Red,#ff2800,255,40,0
116,fire_engine_red,Fire Engine Red,#ce2029,206,32,41
117,flamingo_pink,Flamingo Pink,#fc8eac,252,142,172
118,fluorescent_orange,Fluorescent Orange,#ffbf00,255,191,0
119,fluorescent_pink,Fluorescent Pink,#ff1493,255,20,147
120,fluorescent_yellow,Fluorescent Yellow,#cf0,204,255,0
121,forest_green_traditional,Forest Green (Traditional),#014421,1,68,33
122,forest_green_web,Forest Green (Web),#228b22,34,139,34
123,french_blue,French Blue,#0072bb,0,114,187
124,fuchsia_pink,Fuchsia Pink,#f7f,255,119,255
125,golden_yellow,Golden Yellow,#ffdf00,255,223,0
126,green_color_wheel_x11_green,Green (Color Wheel) (X11 Green),#0f0,0,255,0
127,green_crayola,Green (Crayola),#1cac78,28,172,120
128,green_html_css_green,Green (Html/Css Green),#008000,0,128,0
129,green_munsell,Green (Munsell),#00a877,0,168,119
130,green_ncs,Green (Ncs),#009f6b,0,159,107
131,green_pigment,Green (Pigment),#00a550,0,165,80
132,green_ryb,Green (Ryb),#66b032,102,176,50
133,green_yellow,Green-Yellow,#adff2f,173,255,47
134,guppie_green,Guppie Green,#00ff7f,0,255,127
135,han_blue,Han Blue,#446ccf,68,108,207
136,han_purple,Han Purple,#5218fa,82,24,250
137,hansa_yellow,Hansa Yellow,#e9d66b,233,214,107
138,honolulu_blue,Honolulu Blue,#007fbf,0,127,191
139,hooker_s_green,Hooker'S Green,#49796b,73,121,107
140,hot_pink,Hot Pink,#ff69b4,255,105,180
141,hunter_green,Hunter Green,#355e3b,53,94,59
142,imperial_blue,Imperial Blue,#002395,0,35,149
143,india_green,India Green,#138808,19,136,8
144,indian_red,Indian Red,#cd5c5c,205,92,92
145,indian_yellow,Indian Yellow,#e3a857,227,168,87
146,international_klein_blue,International Klein Blue,#002fa7,0,47,167
147,international_orange_aerospace,International Orange (Aerospace),#ff4f00,255,79,0
148,international_orange_engineering,International Orange (Engineering),#ba160c,186,22,12
149,international_orange_golden_gate_bridge,International Orange (Golden Gate Bridge),#c0362c,192,54,44
150,islamic_green,Islamic Green,#009000,0,144,0
151,jungle_green,Jungle Green,#29ab87,41,171,135
152,kelly_green,Kelly Green,#4cbb17,76,187,23
153,la_salle_green,La Salle Green,#087830,8,120,48
154,laurel_green,Laurel Green,#a9ba9d,169,186,157
